"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","STUDY_ID","PROLIFIC_PID","SESSION_ID","rt","view_history","shapes","occluder","options","response","RT","confidence","confidence_RT"
"true","false","[]","[]","[]","preload","0","28","0.0-0.0","664d169a152835c08e3e5d2a","6329e5f4b69d5839344c8d6c","664dfe5c899ec7be94f41aa6","","","","","","","","",""
"true","","","","","fullscreen","1","12913","0.0-1.0","664d169a152835c08e3e5d2a","6329e5f4b69d5839344c8d6c","664dfe5c899ec7be94f41aa6","11882","","","","","","","",""
"","","","","","instructions","2","75755","0.0-2.0","664d169a152835c08e3e5d2a","6329e5f4b69d5839344c8d6c","664dfe5c899ec7be94f41aa6","62841","[{""page_index"":0,""viewing_time"":1501},{""page_index"":1,""viewing_time"":42700},{""page_index"":2,""viewing_time"":14206},{""page_index"":3,""viewing_time"":3322},{""page_index"":4,""viewing_time"":1112}]","","","","","","",""
"","","","","","jsShapes","3","107512","0.0-3.0-0.0","664d169a152835c08e3e5d2a","6329e5f4b69d5839344c8d6c","664dfe5c899ec7be94f41aa6","","","[3,0]","right","[1,3]","1","28663","0.567391304347826","3077"
"","","","","","jsShapes","4","115712","0.0-3.0-0.1","664d169a152835c08e3e5d2a","6329e5f4b69d5839344c8d6c","664dfe5c899ec7be94f41aa6","","","[0,1]","left","[0,1]","0","5959.000000000015","0.8260869565217391","2226"
"","","","","","jsShapes","5","121745","0.0-3.0-0.2","664d169a152835c08e3e5d2a","6329e5f4b69d5839344c8d6c","664dfe5c899ec7be94f41aa6","","","[0,1]","right","[3,1]","1","4363.999999999985","0.7304347826086957","1665"
"","","","","","jsShapes","6","127411","0.0-3.0-0.3","664d169a152835c08e3e5d2a","6329e5f4b69d5839344c8d6c","664dfe5c899ec7be94f41aa6","","","[3,4]","left","[0,4]","0","4272","0.6543478260869565","1386"
"","","","","","jsShapes","7","134111","0.0-3.0-0.4","664d169a152835c08e3e5d2a","6329e5f4b69d5839344c8d6c","664dfe5c899ec7be94f41aa6","","","[4,3]","left","[2,0]","1","5244","0.6543478260869565","1443"
"","","","","","jsShapes","8","138261","0.0-3.0-0.5","664d169a152835c08e3e5d2a","6329e5f4b69d5839344c8d6c","664dfe5c899ec7be94f41aa6","","","[2,0]","right","[1,2]","0","2784","0.7673913043478261","1357"
"","","","","","jsShapes","9","142878","0.0-3.0-0.6","664d169a152835c08e3e5d2a","6329e5f4b69d5839344c8d6c","664dfe5c899ec7be94f41aa6","","","[0,1]","right","[1,3]","0","2786.999999999971","0.9391304347826087","1810"
"","","","","","jsShapes","10","146961","0.0-3.0-0.7","664d169a152835c08e3e5d2a","6329e5f4b69d5839344c8d6c","664dfe5c899ec7be94f41aa6","","","[0,1]","left","[0,4]","0","2363","1","1707"
"","","","","","jsShapes","11","151978","0.0-3.0-0.8","664d169a152835c08e3e5d2a","6329e5f4b69d5839344c8d6c","664dfe5c899ec7be94f41aa6","","","[3,3]","left","[3,0]","1","3725","0.6586956521739131","1285"
"","","","","","jsShapes","12","155794","0.0-3.0-0.9","664d169a152835c08e3e5d2a","6329e5f4b69d5839344c8d6c","664dfe5c899ec7be94f41aa6","","","[0,1]","left","[4,0]","0","2748","0.9978260869565218","1057"
"","","","","","jsShapes","13","160428","0.0-3.0-0.10","664d169a152835c08e3e5d2a","6329e5f4b69d5839344c8d6c","664dfe5c899ec7be94f41aa6","","","[0,1]","right","[1,0]","0","3531","0.9043478260869565","1090"
"","","","","","jsShapes","14","164777","0.0-3.0-0.11","664d169a152835c08e3e5d2a","6329e5f4b69d5839344c8d6c","664dfe5c899ec7be94f41aa6","","","[3,4]","right","[2,1]","1","3502.999999999971","1","833"
"","","","","","jsShapes","15","168994","0.0-3.0-0.12","664d169a152835c08e3e5d2a","6329e5f4b69d5839344c8d6c","664dfe5c899ec7be94f41aa6","","","[3,4]","right","[1,2]","0","2648","0.6217391304347826","1550"
"","","","","","jsShapes","16","172728","0.0-3.0-0.13","664d169a152835c08e3e5d2a","6329e5f4b69d5839344c8d6c","664dfe5c899ec7be94f41aa6","","","[3,4]","left","[0,4]","0","2556","0.7956521739130434","1165"
"","","","","","jsShapes","17","178394","0.0-3.0-0.14","664d169a152835c08e3e5d2a","6329e5f4b69d5839344c8d6c","664dfe5c899ec7be94f41aa6","","","[0,1]","left","[4,0]","1","4601","1","1051"
"","","","","","jsShapes","18","181894","0.0-3.0-0.15","664d169a152835c08e3e5d2a","6329e5f4b69d5839344c8d6c","664dfe5c899ec7be94f41aa6","","","[0,1]","right","[0,1]","1","2166.000000000029","0.8434782608695652","1317.999999999971"
"","","","","","survey-text","19","184320","0.0-4.0","664d169a152835c08e3e5d2a","6329e5f4b69d5839344c8d6c","664dfe5c899ec7be94f41aa6","2420","","","","","{""worker_comments"":""""}","","",""
"","","","","","instructions","20","190584","0.0-5.0","664d169a152835c08e3e5d2a","6329e5f4b69d5839344c8d6c","664dfe5c899ec7be94f41aa6","6264","[{""page_index"":0,""viewing_time"":6264}]","","","","","","",""
"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","STUDY_ID","PROLIFIC_PID","SESSION_ID","rt","view_history","shapes","occluder","options","response","RT","confidence","confidence_RT"
"true","false","[]","[]","[]","preload","0","46","0.0-0.0","664d169a152835c08e3e5d2a","5ded5559033565416fe02a77","665075df1ca70b9a0f8ea8b4","","","","","","","","",""
"true","","","","","fullscreen","1","3928","0.0-1.0","664d169a152835c08e3e5d2a","5ded5559033565416fe02a77","665075df1ca70b9a0f8ea8b4","2863","","","","","","","",""
"","","","","","instructions","2","60563","0.0-2.0","664d169a152835c08e3e5d2a","5ded5559033565416fe02a77","665075df1ca70b9a0f8ea8b4","56633","[{""page_index"":0,""viewing_time"":2830},{""page_index"":1,""viewing_time"":31470},{""page_index"":2,""viewing_time"":15353},{""page_index"":3,""viewing_time"":3584},{""page_index"":4,""viewing_time"":3396}]","","","","","","",""
"","","","","","jsShapes","3","79690","0.0-3.0-0.0","664d169a152835c08e3e5d2a","5ded5559033565416fe02a77","665075df1ca70b9a0f8ea8b4","","","[2,2]","right","[3,1]","0","16822.600000023842","0.4688888888888889","2249.2000000476837"
"","","","","","jsShapes","4","98952","0.0-3.0-0.1","664d169a152835c08e3e5d2a","5ded5559033565416fe02a77","665075df1ca70b9a0f8ea8b4","","","[3,4]","left","[3,0]","0","17668.899999976158","0.6911111111111111","1575.5"
"","","","","","jsShapes","5","105252","0.0-3.0-0.2","664d169a152835c08e3e5d2a","5ded5559033565416fe02a77","665075df1ca70b9a0f8ea8b4","","","[0,1]","right","[0,1]","1","4737.099999904633","0.6533333333333333","1548.7000000476837"
"","","","","","jsShapes","6","116467","0.0-3.0-0.3","664d169a152835c08e3e5d2a","5ded5559033565416fe02a77","665075df1ca70b9a0f8ea8b4","","","[0,1]","left","[4,0]","1","9735.799999952316","0.6599999999999999","1472.8000000715256"
"","","","","","jsShapes","7","126215","0.0-3.0-0.4","664d169a152835c08e3e5d2a","5ded5559033565416fe02a77","665075df1ca70b9a0f8ea8b4","","","[0,1]","left","[1,0]","1","8226.100000023842","0.6799999999999999","1508.5"
"","","","","","jsShapes","8","131481","0.0-3.0-0.5","664d169a152835c08e3e5d2a","5ded5559033565416fe02a77","665075df1ca70b9a0f8ea8b4","","","[0,1]","right","[1,3]","0","3764.100000023842","0.6311111111111112","1494.5999999046326"
"","","","","","jsShapes","9","137815","0.0-3.0-0.6","664d169a152835c08e3e5d2a","5ded5559033565416fe02a77","665075df1ca70b9a0f8ea8b4","","","[1,0]","left","[0,4]","1","4993.100000023842","0.6777777777777778","1336.2000000476837"
"","","","","","jsShapes","10","154311","0.0-3.0-0.7","664d169a152835c08e3e5d2a","5ded5559033565416fe02a77","665075df1ca70b9a0f8ea8b4","","","[2,3]","right","[0,1]","0","14539.399999976158","0.3288888888888889","1937.7000000476837"
"","","","","","jsShapes","11","159028","0.0-3.0-0.8","664d169a152835c08e3e5d2a","5ded5559033565416fe02a77","665075df1ca70b9a0f8ea8b4","","","[0,1]","left","[0,3]","0","2959.600000023842","0.7022222222222223","1745.6000000238419"
"","","","","","jsShapes","12","167246","0.0-3.0-0.9","664d169a152835c08e3e5d2a","5ded5559033565416fe02a77","665075df1ca70b9a0f8ea8b4","","","[4,4]","left","[3,0]","0","6795.5","0.6955555555555555","1416.5999999046326"
"","","","","","jsShapes","13","171627","0.0-3.0-0.10","664d169a152835c08e3e5d2a","5ded5559033565416fe02a77","665075df1ca70b9a0f8ea8b4","","","[0,1]","right","[1,4]","0","2604.8000000715256","0.731111111111111","1769.5999999046326"
"","","","","","jsShapes","14","177178","0.0-3.0-0.11","664d169a152835c08e3e5d2a","5ded5559033565416fe02a77","665075df1ca70b9a0f8ea8b4","","","[1,3]","right","[2,1]","0","4326.099999904633","0.731111111111111","1218.3000000715256"
"","","","","","jsShapes","15","182758","0.0-3.0-0.12","664d169a152835c08e3e5d2a","5ded5559033565416fe02a77","665075df1ca70b9a0f8ea8b4","","","[3,2]","left","[0,2]","1","4505.400000095367","0.6177777777777778","1065.0999999046326"
"","","","","","jsShapes","16","187641","0.0-3.0-0.13","664d169a152835c08e3e5d2a","5ded5559033565416fe02a77","665075df1ca70b9a0f8ea8b4","","","[3,2]","right","[2,1]","0","3366.2000000476837","0.6466666666666667","1499.3999999761581"
"","","","","","jsShapes","17","192607","0.0-3.0-0.14","664d169a152835c08e3e5d2a","5ded5559033565416fe02a77","665075df1ca70b9a0f8ea8b4","","","[0,1]","left","[3,0]","1","3755.899999976158","0.5933333333333333","1193.2000000476837"
"","","","","","jsShapes","18","199206","0.0-3.0-0.15","664d169a152835c08e3e5d2a","5ded5559033565416fe02a77","665075df1ca70b9a0f8ea8b4","","","[0,1]","right","[1,3]","0","4998.200000047684","0.6311111111111112","1585.5"
"","","","","","survey-text","19","208121","0.0-4.0","664d169a152835c08e3e5d2a","5ded5559033565416fe02a77","665075df1ca70b9a0f8ea8b4","8905","","","","","{""worker_comments"":""nothing to add""}","","",""
"","","","","","instructions","20","212714","0.0-5.0","664d169a152835c08e3e5d2a","5ded5559033565416fe02a77","665075df1ca70b9a0f8ea8b4","4590","[{""page_index"":0,""viewing_time"":4589}]","","","","","","",""
"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","STUDY_ID","PROLIFIC_PID","SESSION_ID","rt","view_history","shapes","occluder","options","response","RT","confidence","confidence_RT"
"true","false","[]","[]","[]","preload","0","45","0.0-0.0","664d169a152835c08e3e5d2a","5980fff19bf4fe0001070984","664dfeabcda13c7b13b85392","","","","","","","","",""
"true","","","","","fullscreen","1","2440","0.0-1.0","664d169a152835c08e3e5d2a","5980fff19bf4fe0001070984","664dfeabcda13c7b13b85392","1378","","","","","","","",""
"","","","","","instructions","2","20104","0.0-2.0","664d169a152835c08e3e5d2a","5980fff19bf4fe0001070984","664dfeabcda13c7b13b85392","17663","[{""page_index"":0,""viewing_time"":2758},{""page_index"":1,""viewing_time"":6992},{""page_index"":2,""viewing_time"":5617},{""page_index"":3,""viewing_time"":1522},{""page_index"":4,""viewing_time"":774}]","","","","","","",""
"","","","","","jsShapes","3","34172","0.0-3.0-0.0","664d169a152835c08e3e5d2a","5980fff19bf4fe0001070984","664dfeabcda13c7b13b85392","","","[1,0]","left","[0,1]","0","11274.300000011921","0.15000000000000002","2776.099999964237"
"","","","","","jsShapes","4","42004","0.0-3.0-0.1","664d169a152835c08e3e5d2a","5980fff19bf4fe0001070984","664dfeabcda13c7b13b85392","","","[4,4]","right","[2,1]","0","6306","0.1444444444444445","1512.300000011921"
"","","","","","jsShapes","5","46787","0.0-3.0-0.2","664d169a152835c08e3e5d2a","5980fff19bf4fe0001070984","664dfeabcda13c7b13b85392","","","[0,1]","right","[1,0]","0","3594.199999988079","1","1167.300000011921"
"","","","","","jsShapes","6","52137","0.0-3.0-0.3","664d169a152835c08e3e5d2a","5980fff19bf4fe0001070984","664dfeabcda13c7b13b85392","","","[0,1]","left","[0,2]","0","4395.900000035763","0.2222222222222222","943.3999999761581"
"","","","","","jsShapes","7","57386","0.0-3.0-0.4","664d169a152835c08e3e5d2a","5980fff19bf4fe0001070984","664dfeabcda13c7b13b85392","","","[1,0]","left","[2,0]","0","3994.099999964237","0.22592592592592597","1250.800000011921"
"","","","","","jsShapes","8","65936","0.0-3.0-0.5","664d169a152835c08e3e5d2a","5980fff19bf4fe0001070984","664dfeabcda13c7b13b85392","","","[0,1]","left","[2,0]","0","7437.099999964237","0.26296296296296295","1111"
