"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","STUDY_ID","PROLIFIC_PID","SESSION_ID","rt","view_history","shapes","occluder","options","response","RT","confidence","confidence_RT"
"true","false","[]","[]","[]","preload","0","153","0.0-0.0","66379be77a6207483b19502d","65c0146ae58552a0a8fc7ba8","6637e3cc9c755fdf10a66a8e","","","","","","","","",""
"true","","","","","fullscreen","1","2381","0.0-1.0","66379be77a6207483b19502d","65c0146ae58552a0a8fc7ba8","6637e3cc9c755fdf10a66a8e","1227","","","","","","","",""
"","","","","","instructions","2","47243","0.0-2.0","66379be77a6207483b19502d","65c0146ae58552a0a8fc7ba8","6637e3cc9c755fdf10a66a8e","44861","[{""page_index"":0,""viewing_time"":8333},{""page_index"":1,""viewing_time"":20357},{""page_index"":2,""viewing_time"":5475},{""page_index"":1,""viewing_time"":348},{""page_index"":2,""viewing_time"":6162},{""page_index"":3,""viewing_time"":2983},{""page_index"":4,""viewing_time"":1203}]","","","","","","",""
"","","","","","jsShapes","3","59801","0.0-3.0-0.0","66379be77a6207483b19502d","65c0146ae58552a0a8fc7ba8","6637e3cc9c755fdf10a66a8e","","","[3,3]","left","[0,4]","1","8872.099999904633","1","3656.699999809265"
"","","","","","jsShapes","4","66452","0.0-3.0-0.1","66379be77a6207483b19502d","65c0146ae58552a0a8fc7ba8","6637e3cc9c755fdf10a66a8e","","","[0,1]","right","[3,1]","1","5688.400000095367","1","957"
"","","","","","jsShapes","5","73898","0.0-3.0-0.2","66379be77a6207483b19502d","65c0146ae58552a0a8fc7ba8","6637e3cc9c755fdf10a66a8e","","","[4,3]","right","[4,1]","0","6353.599999904633","1","1080.9000000953674"
"","","","","","jsShapes","6","80316","0.0-3.0-0.3","66379be77a6207483b19502d","65c0146ae58552a0a8fc7ba8","6637e3cc9c755fdf10a66a8e","","","[0,1]","left","[3,0]","1","5409.799999713898","1","993.3000001907349"
"","","","","","jsShapes","7","83566","0.0-3.0-0.4","66379be77a6207483b19502d","65c0146ae58552a0a8fc7ba8","6637e3cc9c755fdf10a66a8e","","","[0,1]","right","[2,1]","1","2403.9000000953674","1","839.7999997138977"
"","","","","","jsShapes","8","87241","0.0-3.0-0.5","66379be77a6207483b19502d","65c0146ae58552a0a8fc7ba8","6637e3cc9c755fdf10a66a8e","","","[2,4]","left","[0,4]","1","2807.9000000953674","1","853.3000001907349"
"","","","","","jsShapes","9","92165","0.0-3.0-0.6","66379be77a6207483b19502d","65c0146ae58552a0a8fc7ba8","6637e3cc9c755fdf10a66a8e","","","[0,1]","left","[2,0]","1","4112.60000038147","1","794.0999999046326"
