"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","STUDY_ID","PROLIFIC_PID","SESSION_ID","view_history","shapes","occluder","options","response","RT","confidence","confidence_RT"
"true","2612","fullscreen","0","3617","0.0-0.0","663503c5868234bd49d608b9","5f3d16857b932c000b3467d6","66350a243a0fe05fc9a8bcb5","","","","","","","",""
"","24714","instructions","1","28332","0.0-1.0","663503c5868234bd49d608b9","5f3d16857b932c000b3467d6","66350a243a0fe05fc9a8bcb5","[{""page_index"":0,""viewing_time"":9145},{""page_index"":1,""viewing_time"":14351},{""page_index"":2,""viewing_time"":1219}]","","","","","","",""
"","","jsShapes","2","46713","0.0-2.0-0.0","663503c5868234bd49d608b9","5f3d16857b932c000b3467d6","66350a243a0fe05fc9a8bcb5","","[2,4]","right","[0,1]","0","14910.799999952316","0.8694444444444445","3453.5999999046326"
"","","jsShapes","3","55473","0.0-2.0-0.1","663503c5868234bd49d608b9","5f3d16857b932c000b3467d6","66350a243a0fe05fc9a8bcb5","","[0,1]","left","[0,2]","0","6090.299999952316","0.9611111111111111","2657.2999999523163"
"","","jsShapes","4","66364","0.0-2.0-0.2","663503c5868234bd49d608b9","5f3d16857b932c000b3467d6","66350a243a0fe05fc9a8bcb5","","[3,4]","left","[0,3]","1","9075.099999904633","0.5861111111111111","1800.7999999523163"
"","","jsShapes","5","81600","0.0-2.0-0.3","663503c5868234bd49d608b9","5f3d16857b932c000b3467d6","66350a243a0fe05fc9a8bcb5","","[0,1]","right","[3,1]","1","13786","0.8805555555555555","1433.4000000953674"
"","","jsShapes","6","87512","0.0-2.0-0.4","663503c5868234bd49d608b9","5f3d16857b932c000b3467d6","66350a243a0fe05fc9a8bcb5","","[0,1]","left","[0,3]","0","4022","0.9055555555555556","1872.9000000953674"
"","","jsShapes","7","94823","0.0-2.0-0.5","663503c5868234bd49d608b9","5f3d16857b932c000b3467d6","66350a243a0fe05fc9a8bcb5","","[0,1]","right","[2,1]","1","6038.399999856949","0.9111111111111111","1258"
"","","jsShapes","8","101334","0.0-2.0-0.6","663503c5868234bd49d608b9","5f3d16857b932c000b3467d6","66350a243a0fe05fc9a8bcb5","","[1,2]","left","[0,3]","1","4223.900000095367","0.6388888888888888","2273.899999856949"
"","","jsShapes","9","109361","0.0-2.0-0.7","663503c5868234bd49d608b9","5f3d16857b932c000b3467d6","66350a243a0fe05fc9a8bcb5","","[1,0]","right","[1,4]","1","6088.400000095367","0.5083333333333333","1927"
"","","jsShapes","10","123116","0.0-2.0-0.8","663503c5868234bd49d608b9","5f3d16857b932c000b3467d6","66350a243a0fe05fc9a8bcb5","","[4,0]","right","[1,0]","1","11908.299999952316","0.35277777777777775","1830.7999999523163"
