"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","STUDY_ID","PROLIFIC_PID","SESSION_ID","rt","view_history","shapes","occluder","options","response","RT","confidence","confidence_RT"
"","","","","","jsShapes","5","135744","0.0-3.0-0.2","665ca2f40cef08da33075320","60c1de8dacf1232623aa3e29","665ca53e4fa57fdf6f53a41d","","","[2,4]","left","[4,0]","1","21722.89999999851","0.15333333333333332","2255.5"
"","","","","","jsShapes","6","148111","0.0-3.0-0.3","665ca2f40cef08da33075320","60c1de8dacf1232623aa3e29","665ca53e4fa57fdf6f53a41d","","","[0,1]","right","[4,1]","1","10575.19999999553","0.35111111111111115","1788.5"
"","","","","","jsShapes","7","158210","0.0-3.0-0.4","665ca2f40cef08da33075320","60c1de8dacf1232623aa3e29","665ca53e4fa57fdf6f53a41d","","","[3,3]","right","[2,1]","0","8746.79999999702","0.36888888888888893","1349.5"
"","","","","","jsShapes","8","171076","0.0-3.0-0.5","665ca2f40cef08da33075320","60c1de8dacf1232623aa3e29","665ca53e4fa57fdf6f53a41d","","","[0,1]","left","[0,2]","0","11230.5","0.37111111111111106","1632.6999999955297"
"","","","","","jsShapes","9","183043","0.0-3.0-0.6","665ca2f40cef08da33075320","60c1de8dacf1232623aa3e29","665ca53e4fa57fdf6f53a41d","","","[2,4]","left","[2,0]","0","10839.5","0.2088888888888889","1124.6000000014901"
"","","","","","jsShapes","10","192026","0.0-3.0-0.7","665ca2f40cef08da33075320","60c1de8dacf1232623aa3e29","665ca53e4fa57fdf6f53a41d","","","[0,1]","right","[1,2]","0","7304.39999999851","0.24222222222222223","1676.4000000059605"
"","","","","","jsShapes","11","230158","0.0-3.0-0.8","665ca2f40cef08da33075320","60c1de8dacf1232623aa3e29","665ca53e4fa57fdf6f53a41d","","","[3,4]","left","[0,1]","0","36271.79999999702","0.19111111111111112","1857.5"
"","","","","","jsShapes","12","245440","0.0-3.0-0.9","665ca2f40cef08da33075320","60c1de8dacf1232623aa3e29","665ca53e4fa57fdf6f53a41d","","","[3,4]","right","[1,0]","1","14022.20000000298","0.3533333333333334","1256.7999999970198"
"","","","","","jsShapes","13","266574","0.0-3.0-0.10","665ca2f40cef08da33075320","60c1de8dacf1232623aa3e29","665ca53e4fa57fdf6f53a41d","","","[0,1]","right","[1,4]","0","16230.70000000298","0.44666666666666666","4900"
"","","","","","jsShapes","14","291072","0.0-3.0-0.11","665ca2f40cef08da33075320","60c1de8dacf1232623aa3e29","665ca53e4fa57fdf6f53a41d","","","[0,1]","left","[0,4]","0","23153.89999999851","0.21111111111111114","1342.3999999985099"
"","","","","","jsShapes","15","304222","0.0-3.0-0.12","665ca2f40cef08da33075320","60c1de8dacf1232623aa3e29","665ca53e4fa57fdf6f53a41d","","","[0,1]","left","[0,1]","0","12030.60000000149","0.21111111111111114","1114.8999999985099"
"","","","","","jsShapes","16","312337","0.0-3.0-0.13","665ca2f40cef08da33075320","60c1de8dacf1232623aa3e29","665ca53e4fa57fdf6f53a41d","","","[0,1]","right","[4,1]","1","6763.30000000447","0.21777777777777774","1348.7999999970198"
"","","","","","jsShapes","17","318172","0.0-3.0-0.14","665ca2f40cef08da33075320","60c1de8dacf1232623aa3e29","665ca53e4fa57fdf6f53a41d","","","[4,0]","left","[3,0]","0","4641.10000000149","0.21777777777777774","1184.7999999970198"
"","","","","","jsShapes","18","326788","0.0-3.0-0.15","665ca2f40cef08da33075320","60c1de8dacf1232623aa3e29","665ca53e4fa57fdf6f53a41d","","","[4,4]","right","[1,4]","1","7232","0.21777777777777774","1380.1999999955297"
"","","","","","survey-text","19","336814","0.0-4.0","665ca2f40cef08da33075320","60c1de8dacf1232623aa3e29","665ca53e4fa57fdf6f53a41d","10018","","","","","{""worker_comments"":""n/a""}","","",""
"","","","","","instructions","20","341691","0.0-5.0","665ca2f40cef08da33075320","60c1de8dacf1232623aa3e29","665ca53e4fa57fdf6f53a41d","4876","[{""page_index"":0,""viewing_time"":4876}]","","","","","","",""
"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","STUDY_ID","PROLIFIC_PID","SESSION_ID","rt","view_history","shapes","occluder","options","response","RT","confidence","confidence_RT"
"true","false","[]","[]","[]","preload","0","27","0.0-0.0","665ca2f40cef08da33075320","5b5f9f40080ab40001fb6eb4","665ca922e8741baefff7cf29","","","","","","","","",""
"true","","","","","fullscreen","1","11587","0.0-1.0","665ca2f40cef08da33075320","5b5f9f40080ab40001fb6eb4","665ca922e8741baefff7cf29","10550","","","","","","","",""
"","","","","","instructions","2","58223","0.0-2.0","665ca2f40cef08da33075320","5b5f9f40080ab40001fb6eb4","665ca922e8741baefff7cf29","46636","[{""page_index"":0,""viewing_time"":2667},{""page_index"":1,""viewing_time"":32326},{""page_index"":2,""viewing_time"":8625},{""page_index"":3,""viewing_time"":1800},{""page_index"":4,""viewing_time"":1218}]","","","","","","",""
"","","","","","jsShapes","3","73598","0.0-3.0-0.0","665ca2f40cef08da33075320","5b5f9f40080ab40001fb6eb4","665ca922e8741baefff7cf29","","","[0,1]","right","[1,2]","1","12968","0.42638888888888893","2398"
"","","","","","jsShapes","4","83682","0.0-3.0-0.1","665ca2f40cef08da33075320","5b5f9f40080ab40001fb6eb4","665ca922e8741baefff7cf29","","","[1,4]","right","[4,1]","0","8729","0.3597222222222223","1348"
"","","","","","jsShapes","5","96773","0.0-3.0-0.2","665ca2f40cef08da33075320","5b5f9f40080ab40001fb6eb4","665ca922e8741baefff7cf29","","","[3,2]","left","[2,0]","0","11132","0.37083333333333335","1955"
"","","","","","jsShapes","6","108808","0.0-3.0-0.3","665ca2f40cef08da33075320","5b5f9f40080ab40001fb6eb4","665ca922e8741baefff7cf29","","","[0,1]","left","[0,2]","1","11140","0.39861111111111114","884"
"","","","","","jsShapes","7","133192","0.0-3.0-0.4","665ca2f40cef08da33075320","5b5f9f40080ab40001fb6eb4","665ca922e8741baefff7cf29","","","[1,0]","left","[0,3]","1","23373","0.35277777777777775","999"
"","","","","","jsShapes","8","140011","0.0-3.0-0.5","665ca2f40cef08da33075320","5b5f9f40080ab40001fb6eb4","665ca922e8741baefff7cf29","","","[0,1]","left","[0,2]","0","5674","0.5680555555555555","1136"
"","","","","","jsShapes","9","150255","0.0-3.0-0.6","665ca2f40cef08da33075320","5b5f9f40080ab40001fb6eb4","665ca922e8741baefff7cf29","","","[2,2]","right","[2,1]","0","9252","0.35277777777777775","987"
"","","","","","jsShapes","10","153977","0.0-3.0-0.7","665ca2f40cef08da33075320","5b5f9f40080ab40001fb6eb4","665ca922e8741baefff7cf29","","","[0,1]","right","[2,1]","1","3014","0.8847222222222222","698"
"","","","","","jsShapes","11","158297","0.0-3.0-0.8","665ca2f40cef08da33075320","5b5f9f40080ab40001fb6eb4","665ca922e8741baefff7cf29","","","[0,1]","left","[0,2]","0","3435","0.7625","872"
"","","","","","jsShapes","12","163638","0.0-3.0-0.9","665ca2f40cef08da33075320","5b5f9f40080ab40001fb6eb4","665ca922e8741baefff7cf29","","","[4,0]","left","[4,0]","0","4067","0.41666666666666663","1258"
"","","","","","jsShapes","13","167701","0.0-3.0-0.10","665ca2f40cef08da33075320","5b5f9f40080ab40001fb6eb4","665ca922e8741baefff7cf29","","","[0,1]","right","[0,1]","1","2713","0.8138888888888889","1341"
"","","","","","jsShapes","14","172110","0.0-3.0-0.11","665ca2f40cef08da33075320","5b5f9f40080ab40001fb6eb4","665ca922e8741baefff7cf29","","","[3,2]","right","[1,0]","1","3240","0.44305555555555554","1149"
"","","","","","jsShapes","15","177291","0.0-3.0-0.12","665ca2f40cef08da33075320","5b5f9f40080ab40001fb6eb4","665ca922e8741baefff7cf29","","","[2,4]","left","[4,0]","0","4104","0.8527777777777777","1055"
"","","","","","jsShapes","16","185459","0.0-3.0-0.13","665ca2f40cef08da33075320","5b5f9f40080ab40001fb6eb4","665ca922e8741baefff7cf29","","","[2,4]","right","[1,0]","1","7054","0.3652777777777778","1105"
"","","","","","jsShapes","17","190951","0.0-3.0-0.14","665ca2f40cef08da33075320","5b5f9f40080ab40001fb6eb4","665ca922e8741baefff7cf29","","","[0,1]","left","[3,0]","1","4637","0.8555555555555556","851"
"","","","","","jsShapes","18","193813","0.0-3.0-0.15","665ca2f40cef08da33075320","5b5f9f40080ab40001fb6eb4","665ca922e8741baefff7cf29","","","[0,1]","right","[1,2]","0","1784","0.875","1073"
"","","","","","survey-text","19","202214","0.0-4.0","665ca2f40cef08da33075320","5b5f9f40080ab40001fb6eb4","665ca922e8741baefff7cf29","8398","","","","","{""worker_comments"":""Thanks!""}","","",""
"","","","","","instructions","20","204256","0.0-5.0","665ca2f40cef08da33075320","5b5f9f40080ab40001fb6eb4","665ca922e8741baefff7cf29","2042","[{""page_index"":0,""viewing_time"":2042}]","","","","","","",""
"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","STUDY_ID","PROLIFIC_PID","SESSION_ID","rt","view_history","shapes","occluder","options","response","RT","confidence","confidence_RT"
"true","false","[]","[]","[]","preload","0","169","0.0-0.0","665ca2f40cef08da33075320","65c50b3547f20f00b2aeeb58","665ca925f76e8e04ef2989f7","","","","","","","","",""
"true","","","","","fullscreen","1","3153","0.0-1.0","665ca2f40cef08da33075320","65c50b3547f20f00b2aeeb58","665ca925f76e8e04ef2989f7","1981","","","","","","","",""
